,Time,Indus_levels,Indus_Inflow,Indus_Outflow,Kabul_Inflow,Jhelum_levels,Jhelum_Inflow,Jhelum_Outflow,Chenab_Inflow,System_Inflow_now,System_Inflow_past,System_Inflow_avg
65,11/Sep ,1531.50 ,138.8 ,138.0 ,18.9 ,1192.00 ,22.4 ,30.0 ,48.9 ,229.0 ,227.4 ,224.7 
66,10/Sep ,1531.50 ,127.3 ,150.0 ,18.2 ,1192.25 ,15.9 ,25.0 ,47.9 ,209.3 ,256.0 ,240.2 
67,9/Sep ,1532.35 ,115.8 ,162.0 ,19.2 ,1192.55 ,19.4 ,30.0 ,63.0 ,217.4 ,274.3 ,248.3 
68,8/Sep ,1534.05 ,106.9 ,160.0 ,14.4 ,1192.90 ,21.4 ,35.0 ,30.1 ,172.8 ,326.8 ,248.6 
69,7/Sep ,1536.00 ,98.4 ,170.0 ,13.7 ,1193.35 ,15.3 ,38.0 ,28.4 ,155.8 ,349.5 ,316.1 
70,6/Sep ,1538.62 ,95.2 ,170.0 ,13.2 ,1194.10 ,12.3 ,38.0 ,29.5 ,150.2 ,354.6 ,309.0 
71,5/Sep ,1541.30 ,92.9 ,170.0 ,14.0 ,1194.95 ,17.3 ,43.0 ,32.6 ,156.8 ,415.8 ,319.2 
72,4/Sep ,1544.00 ,103.3 ,170.0 ,17.4 ,1195.80 ,15.8 ,40.0 ,34.8 ,171.3 ,462.9 ,270.6 
73,3/Sep ,1546.34 ,107.1 ,170.0 ,20.4 ,1196.60 ,17.3 ,40.0 ,36.3 ,181.1 ,556.3 ,257.2 
74,2/Sep ,1548.55 ,124.0 ,165.0 ,22.7 ,1197.35 ,16.8 ,38.0 ,40.3 ,203.8 ,487.9 ,260.9 
75,1/Sep ,1550.00 ,124.0 ,90.9 ,24.3 ,1198.05 ,18.3 ,38.0 ,44.1 ,210.7 ,346.2 ,266.0 
76,31/Aug ,1548.88 ,155.7 ,120.3 ,23.4 ,1198.70 ,13.8 ,35.0 ,44.1 ,237.0 ,326.6 ,269.7 
77,30-Aug,1547.68,179.3,143.9,22.8,1199.40,17.3,29.4,48.3,267.7,419.3,272.9
78,29-Aug,1546.48,191.3,156.5,18.6,1199.80,22.0,25.0,56.7,288.6,533.0,290.3
79,28-Aug,1545.32,184.5,165.0,17.4,1199.90,17.0,25.0,65.0,283.9,685.0,296.2
80,27/Aug ,1544.67 ,168.4 ,165.0 ,15.9 ,1200.15 ,20.1 ,35.0 ,60.8 ,265.2 ,475.4 ,311.8 
81,26/Aug ,1544.58 ,149.2 ,142.3 ,15.9 ,1200.60 ,23.4 ,35.0 ,56.7 ,245.2 ,349.0 ,328.5 
82,25/Aug ,1544.37 ,137.1 ,130.0 ,17.3 ,1200.95 ,21.8 ,35.0 ,48.3 ,224.5 ,311.2 ,329.3 
83,24/Aug ,1544.15 ,132.4 ,125.0 ,18.1 ,1201.35 ,20.1 ,35.0 ,48.3 ,218.9 ,333.6 ,324.6 
84,23/Aug ,1543.92 ,128.8 ,100.0 ,19.6 ,1201.80 ,21.7 ,30.0 ,48.3 ,218.4 ,352.9 ,335.1 
85,22/Aug ,1542.95 ,125.0 ,100.0 ,23.1 ,1202.05 ,21.7 ,30.0 ,52.5 ,222.3 ,389.5 ,335.2 
86,21/Aug ,1542.11 ,119.3 ,115.0 ,25.4 ,1202.30 ,23.8 ,33.7 ,53.0 ,221.5 ,390.0 ,340.7 
87,20-Aug,1541.99,115.1,155.0,25.6,1202.60,23.8,33.7,48.8,213.3,424.6,349.4
88,19-Aug,1543.40,117.2,155.0,27.0,1202.90,25.1,35.0,41.7,211.0,414.6,351.6
89,18-Aug,1544.74,131.5,155.0,29.6,1203.20,21.7,20.0,41.4,224.2,406.2,371.2
90,17/Aug ,1545.58 ,151.2 ,130.0 ,35.5 ,1203.15 ,26.6 ,20.0 ,48.0 ,261.3 ,405.1 ,396.4 
91,16/Aug ,1544.87 ,172.8 ,130.0 ,38.9 ,1202.95 ,34.9 ,20.0 ,55.8 ,302.4 ,394.5 ,438.3 
92,15/Aug ,1543.41 ,170.0 ,130.0 ,36.9 ,1202.50 ,30.3 ,22.0 ,60.0 ,297.2 ,375.1 ,463.8 
93,14/Aug ,1542.03 ,169.6 ,145.0 ,34.8 ,1202.25 ,33.6 ,22.0 ,60.0 ,298.0 ,389.2 ,465.1 
94,13/Aug ,1541.20 ,163.0 ,160.0 ,33.1 ,1201.90 ,31.9 ,22.0 ,55.8 ,283.8 ,389.5 ,463.8 
95,12/Aug ,1541.12 ,157.2 ,160.0 ,32.7 ,1201.60 ,35.2 ,22.0 ,55.8 ,280.9 ,401.2 ,469.5 
96,11/Aug ,1541.15 ,165.1 ,160.0 ,34.7 ,1201.20 ,35.2 ,22.0 ,60.0 ,295.0 ,395.5 ,485.9 
97,10/Aug ,1541.00 ,162.2 ,132.6 ,37.9 ,1200.80 ,36.9 ,22.0 ,64.0 ,301.0 ,382.5 ,498.4 
98,9/Aug ,1540.00 ,173.1 ,117.0 ,38.0 ,1200.35 ,33.7 ,10.0 ,62.0 ,306.8 ,347.6 ,493.9 
99,8/Aug ,1538.00 ,193.1 ,137.0 ,43.0 ,1199.60 ,38.7 ,10.0 ,56.6 ,331.4 ,322.0 ,503.2 
100,7/Aug ,1536.00 ,204.6 ,148.5 ,47.4 ,1198.65 ,49.3 ,10.0 ,67.3 ,368.6 ,325.1 ,474.2 
101,6/Aug ,1534.00 ,222.3 ,166.2 ,48.1 ,1197.35 ,49.3 ,10.0 ,78.0 ,397.7 ,335.8 ,465.2 
102,5/Aug ,1532.00 ,252.7 ,196.6 ,52.3 ,1196.05 ,44.8 ,10.0 ,77.9 ,427.7 ,342.8 ,472.2 
103,4/Aug ,1530.00 ,276.7 ,196.5 ,60.2 ,1194.90 ,49.3 ,10.0 ,90.0 ,476.2 ,351.8 ,472.9 
104,3-Aug ,1527.00 ,302.3 ,222.1 ,69.1 ,1193.60 ,52.3 ,10.0 ,98.5 ,522.2 ,345.6 ,487.6 
105,2-Aug,1524.00,314.5,234.5,72.2,1192.20,52.3,10.0,97.4,536.4,367.1,492.5
106,1-Aug,1521.00,334.7,240.8,73.2,1190.80,58.0,10.0,119.3,585.2,359.6,496.7
107,31-Jul,1517.36,348.0,220.2,70.7,1189.15,53.4,10.0,105.6,577.7,337.0,525.8
108,30-Jul ,1512.36 ,333.4 ,208.1 ,73.2 ,1187.60 ,50.6 ,10.0 ,98.2 ,555.4 ,332.6 ,546.8 
109,29/Jul ,1507.36 ,309.6 ,186.5 ,56.3 ,1186.15 ,81.4 ,10.0 ,193.8 ,641.1 ,320.3 ,506.1 
110,28/Jul ,1502.36 ,263.2 ,150.0 ,42.3 ,1183.60 ,50.6 ,10.0 ,107.3 ,463.4 ,302.6 ,476.6 
111,27/Jul ,1497.60 ,212.4 ,135.0 ,35.8 ,1182.15 ,57.6 ,10.0 ,107.1 ,412.9 ,288.9 ,465.5 
112,26/Jul ,1494.24 ,178.6 ,135.0 ,38.4 ,1180.45 ,48.3 ,10.0 ,87.3 ,352.6 ,284.5 ,439.5 
113,25/Jul ,1492.36 ,176.4 ,135.0 ,49.7 ,1179.00 ,43.4 ,10.0 ,62.9 ,332.4 ,273.4 ,435.5 
114,24/Jul ,1490.58 ,194.9 ,135.0 ,52.3 ,1177.70 ,47.3 ,10.0 ,54.2 ,348.7 ,270.2 ,432.4 
115,23/Jul ,1487.91 ,234.8 ,135.0 ,72.1 ,1176.25 ,56.3 ,10.0 ,61.7 ,424.9 ,313.1 ,424.2 
116,22/Jul ,1483.38 ,276.1 ,135.0 ,79.5 ,1174.45 ,56.3 ,10.0 ,79.0 ,490.9 ,345.4 ,421.3 
117,21/Jul ,1476.86 ,275.9 ,135.0 ,74.4 ,1172.65 ,73.0 ,10.0 ,108.5 ,531.8 ,327.2 ,429.3 
